id,label,description,rights,meta.Agent,meta.Alt Text,meta.Cultural Context,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Rights,meta.Style Period,meta.Subject,Meta.Worktype
000795,Rama confronts Parasurama (sixth and seventh avatars of Vishnu),"On a golden hill, a dozen soldiers on horses face an entourage surrounding a single blue-skinned figure in a uniform holding an axe. A pair of smaller figures in a prayer posture are behind him. ","ArtStor Slide Gallery, U of Calif San Diego ",Unknown,A scene from the Ramayana,"South Asian, Hindu, Indian, Indian Hindu",CE 1700-1750,"Banaras Hindu University, Varanasi (Banaras), India","Rajput, India","ArtStor Slide Gallery, U of Calif San Diego ","18th Century CE, Rajput, Pahari, Kulu school","Rama, Parasurama",Manuscript
000796,Raphael: Disputation of the Holy Sacrament,The fresco depicts Christ and Biblical figures in heaven above a group of theologians debating the nature of the sacrament of communion.,Public Domain,Raphael,Fresco depicting Christ and Biblical figures above a group of theologians debating the nature of the sacrament of communion.,"Southern European, Italian, Italian Renaissance",CE 1509-1510,"Vatican Museum, Vatican City",Vatican City,Public Domain,"16th Century CE, Italian Renaissance",Christianity,Painting
000797,Raphael: Madonna and Child Enthroned with Saints,"This il painting depicts the Virgin Mary and the infant Jesus, enthroned, with God and Angels above them and saints to either side.",CC 1.0 Universal Public Domain,Raphael,"Oil painting depicting the Virgin Mary and the infant Jesus, enthroned, with God and Angels above them and saints to either side.","Southern European, Italian, Italian Renaissance",CE 1504,"The Metropolitan Museum of Art, New York, NY, USA","Perugia, Italy",CC 1.0 Universal Public Domain,"16th Century CE, Italian Renaissance","St Mary, Jesus",Painting
000798,Raphael: Madonna of the Meadow,This oil painting depicts the Virgin Mary and the infants Jesus and John the Baptist in a rural landscape.,CC BY-NC-SA 4.0 © KHM Museums Association,Raphael,Oil painting depicting the Virgin Mary and the infants Jesus and John the Baptist in a rural landscape.,"Southern European, Italian, Italian Renaissance",CE 1505-1506,"Kunsthistorisches Museum, Vienna, Austria","Perugia, Italy",CC BY-NC-SA 4.0 © KHM Museums Association,"16th Century CE, Italian Renaissance","St Mary, Jesus",Painting
000799,Raphael: The School of Athens,"this fresco depicts numerous philosophers from the ancient world, including, at the center, Plato and Aristotle.",Public Domain,Raphael,"Fresco depicting numerous philosophers from the ancient world, including, at the center, Plato and Aristotle.","Southern European, Italian, Italian Renaissance",CE 1509-1511,"Vatican Museum, Vatican City",Vatican City,Public Domain,"16th Century CE, Italian Renaissance",philosophy,Painting
000800,Rattle Staff: Oba Akenzua I Standing on an Elephant,A long spear-shaped staff is carved with figures at either end. ,CC 1.0 Universal Public Domain,Unknown,A long spear-shaped staff is carved with figures at either end.,"West African, Nigerian, Edo",CE 1725-1750,"The Metropolitan Museum of Art, New York, NY, USA",Nigeria OR Benin,CC 1.0 Universal Public Domain,18th Century CE,"Nigeria, Benin",Metalwork
000801,Reception Hall of Emperor Bakaffa,Four arched doorways punctuate the long side of a large rectangular building made of stone. Dozens of round-topped battlements line the roof. ,Free Art License 1.3 A.Savin,Unknown,Four arched doorways punctuate the long side of a large rectangular building made of stone. Dozens of round-topped battlements line the roof.,"East African, Ethiopian",CE 1721-1730,"Gondar, Ethiopia","Gondar, Ethiopia",Free Art License 1.3 A.Savin,18th Century CE,"Fasiledes, Gondar","Architecture
"
000802,Rectangular Cauldron (Fangding) with Lid (Zu),"This rectangular cauldron (Fangding) is cast in bronze and shows complex incised designs on every surface. Four legs support the vessel, and two u-shaped handles are attached on the shorter sides. The lid (Zu) has four square pegs at the four corners. 商 青銅方鼎及俎蓋 (Rectangular Cauldron with Lid)",CC 1.0 Universal Public Domain,Unknown,Rectangular cauldron with Lid.  Bronze inlaid with black pigment,"East Asian, Chinese, Shang Dynasty",BCE 1100-1001 ,"Metropolitan Museum of Art, New York",China,CC 1.0 Universal Public Domain,"12-11th Century CE, Shang Dynasty",ritual bronze,Metalwork
000803,Redon: The Cyclops,"Image of a one-eyed giant looming over a purple mountain range, looking on a sleeping woman who lies on a bed of flowers",Public Domain,Odilon Redon,Painting of the Cyclops watching Galatea,"Northern and Western European, French, Post-Impressionism, Symbolism, Fauvism",CE 1898-1914,"Kröller-Müller Museum, Otterlo, Netherlands","Paris, France",Public Domain,"19-20th Century CE, Post-Impressionism, Symbolism, Fauvism",cyclop,Painting
000804,Regaining Nanjing,"The painting depicts a scene from the Taiping Rebellion, where the Manchu-Qing army regains the city of Jinling from the Taiping occupation.  In a mountainous terrain, hundreds of uniformed soldiers surround a walled city.  Through archways and a flaming breech in the wall, they swarm into the city, where chaos is shown by raging fires and raised swords and guns.  Flags wave and banners hang from the city's walls.",Public Domain,Unknown,A walled city in a mountainous terrain is being attacked by armies.,"East Asian, Chinese, Qing Dynasty",CE 1886,Unknown,China,Public Domain,"19th Century CE, Qing Dynasty",Taiping Rebellion,Painting
000805,"Reims Cathedral, southwest façade ","A large building with two square-topped bell towers rising over three registers with multiple pointed arches and colonnades.  A large rose window is centered on the second register.  Three portals span the ground-level register, each with pointed arches. ",CC BY-SA 3.0 Johan Bakker,"Jean d'Orbais, Jean-le-Loup, Gaucher of Reims and Bernard de Soissons",A large building with two bell towers and three portals at the ground level,"Northern and Western European, French, Christendom, Gothic",CE 1221,"Reims, France","Reims, France",CC BY-SA 3.0 Johan Bakker,"13th Century CE, Gothic",Christianity,Architecture
000806,Relief of Hatshepsut's Expedition to Punt,"A wall mural shows 7 identical figures (and part of an 8th) in profile, striding in unison across a painted ground. Each holds a tree branch on a shoulder with a left hand with an axe carried forward in the right hand. Each wears a kilt and a helmet-shaped hairpiece.",CC BY 2.0 Σταύρος,Unknown,"A wall mural shows 7 identical figures in profile, striding in unison across a painted ground","Ancient Egyptian, New Kingdom",BCE 1473-1458 ,"Deir El-Bahri, Hatshepsut's Mortuary Temple, Egypt","Deir El-Bahri, Hatshepsut's Mortuary Temple, Egypt",CC BY 2.0 Σταύρος,"15th Century BCE, New Kingdom",expedition,Sculpture
000807,Reliquary Shrine (Attributed to Jean de Touyl),"A small reliquary shrine of gilt silver is in the shape of a vaulted Gothic space (center) in which the Virgin Mary sits, breast-feeding the infant Jesus; the wings open up to show richly enameled, miniature scenes of the life of the Virgin and the infant Jesus.",CC 1.0 Universal Public Domain,Jean de Touyl (attributed),"Small reliquary shrine of gilt silver in which the Virgin Mary sits, breast-feeding the infant Jesus.","Northern and Western European, French, Christendom, Gothic",CE 1325-1350,"Cloisters, Metropolitan Museum of Art, New York, NY, USA","Paris, France",CC 1.0 Universal Public Domain,"14th Century CE, Gothic","St Mary, Jesus",Metalwork
000808,Rembrandt: Militia Company under Captain Cocq / The Night Watch,"The company of Frans Banning Cocq (center, red sash) is gathered for an unconventional military group portrait in motion. A little girl in a yellow dress appears in the background. The figures appear washed in light over a dark background.",Public Domain,Rembrandt van Rijn,A painting of the Civil Guard in Amsterdam,"Northern and Western European, Netherlandish, Baroque",CE 1642,"Rijksmuseum, Amsterdam, Netherlands","Amsterdam, Netherlands",Public Domain,"17th Century CE, Baroque, Dutch Golden Age",group portrait,Painting
000809,Rembrandt: Rembrandt Laughing,"This portrait of the artist about age 22 is smiling and laughing, head tilted slightly back, eyes gazing upwards.",Public Domain,Rembrandt van Rijn,Self-portrait of the artist laughing,"Northern and Western European, Netherlandish, Baroque",CE 1628,"Getty Center, Los Angeles, CA, USA","Leiden, Netherlands",Public Domain,"17th Century CE, Baroque, Dutch Golden Age",tronie,Painting
000810,Rembrandt: Self-Portrait 1660,"This portrait of the artist, at age 54, wears an anxious expression and a tilted black cap.",CC 1.0 Universal Public Domain,Rembrandt van Rijn,Self-portrait of the artist,"Northern and Western European, Netherlandish, Baroque",CE 1660,"The Metropolitan Museum of Art, New York, NY, USA","Amsterdam, Netherlands",CC 1.0 Universal Public Domain,"17th Century CE, Baroque, Dutch Golden Age",self portrait,Painting
000811,Rembrandt: Self-Portrait with Gorget,"In this portrait, Rembrandt faces to the right but looks directly at the viewer. He wears a breastplate",Public Domain,Rembrandt van Rijn,A self-portrait of the artist,"Northern and Western European, Netherlandish, Baroque",CE 1629,"German National Museum, Nuremburg, Germany","Leiden, Netherlands",Public Domain,"17th Century CE, Baroque, Dutch Golden Age",self portrait,Painting
000812,Rembrandt: The Anatomy Lesson of Dr. Nicolaes Tulp,A doctor dissects a cadaver in front of an audience of students.,Public Domain,Rembrandt van Rijn,A doctor dissects the arm of a cadaver while other men look on,"Northern and Western European, Netherlandish, Baroque",CE 1632,"Mauritshuis, The Hague, Netherlands","Amsterdam, Netherlands",Public Domain,"17th Century CE, Baroque, Dutch Golden Age",group portrait,Painting
000813,Renoir: Bal du moulin de la Galette,"This painting depicts an outdoor scene, illuminated by dappled sunlight through trees, in which many people are dancing; on the right, a group of three men sits at a table on which are bottles and glasses.  A bench provides a strong diagonal in the center foreground, where a girl in a striped dress sits and an older woman whose hand rests on the young girl’s shoulder leans into a conversation. Most of the women are dressed in clothing of light hues, while the men are wearing darker clothing. The yellowish beige of the straw hats on the right side of the canvas is picked up by the long blonde hair of the small girl in the left foreground.",Public Domain,Pierre-Auguste Renoir,A crowd of people in a park dance and talk under dappled sunlight.,"Northern and Western European, French, Impressionism",CE 1876,"Musée d'Orsay, Paris, France","Paris, France",Public Domain,"19th Century CE, Impressionism",genre,Painting
000814,Renoir: Berthe Morisot and Her Daughter Julie Manet,"This is a double portrait that depicts an older woman in front of a younger, the body of the first somewhat obstructing the view of the second. The older woman faces the viewer’s left in profile, while the younger woman stares out at the viewer, her arm resting on the back of the older woman’s chair. The light gray wide-brimmed hat and dress worn by the young woman echo the gray hair of her companion, whose clothing is darker gray; the reddish-brown long hair of the young woman picks up the red of the chair and the golden hue that dominates the background on the right side of the painting.",Public Domain,Pierre-Auguste Renoir,A woman with red hair is seated on a couch with an older woman with grey hair.,"Northern and Western European, French, Impressionism",CE 1894,Private Collection,"Paris, France",Public Domain,"19th Century CE, Impressionism",portrait,Painting
000815,"Renoir: Odalisque, Woman of Algiers","This oil-on-canvas painting depicts a woman in lavish clothing and jewelry, reclined on a bed, gazing seductively at the viewer.","Artstor University of California, San Diego",Pierre-Auguste Renoir,A woman dressed in lavish jewelry and loose clothing reclines back on a pillow.,"Northern and Western European, French, Impressionism",CE 1870,"National Gallery of Art, Washingon, DC, USA","Essoyes, France","Artstor University of California, San Diego","19th Century CE, Impressionism","odalisque, Orientalism",Painting
000816,Returning Late from a Spring Outing ,This ink landscape shows a scholar and farmers returning home in the evening.,Public Domain,Dai Jin 戴進,Ink landscape of evening scene with scholar and farmers returning home,"East Asian, Chinese, Ming Dynasty",CE 1410-1462,"National Palace Museum, Taipei, Taiwan","Qiantang, China OR Beijing, China",Public Domain,"15th Century CE, Ming Dynasty","shan shui, mountains",Painting
000818,Reynolds: Sarah Siddons as the Tragic Muse,"A woman wearing a sumptuous gown and jewels sits on a throne that floats on a bed of clouds. She gazes upward toward an unseen light source that spotlights her face, neck, and hands. Behind her on either side, lurking in the brownish-black shadows, are two figures. One gazes downward at a dagger in his hand, and the other stares menacingly at the viewer, holding a chalice.",Public Domain,Sir Joshua Reynolds,A portrait of actress Sarah Siddons,"Northern and Western European, British, Neoclassicism",CE 1784 ,"Huntington Art Gallery, Los Angeles, California, USA","England, UK",Public Domain,"18th Century CE, Neoclassicism",literary theme,Painting
000819,Reynolds: The Ladies Waldegrave,"This portrait is of three young, unwed daughters of an English earl: Charlotte, leftmost, holds a silk ribbon, while Elizabeth, in the middle, wraps the silk around a card. Anna, on the right, creates tambour lace on a frame. All three are dressed in a similar fashion, with powdered wigs and elaborate white dresses. They sit around a small table in front of a heavy red curtain.",Public Domain,Sir Joshua Reynolds,Three women sit around a table,"Northern and Western European, British, Neoclassicism",CE 1780 ,"National Galleries of Scotland, Edinburgh, Scotland, UK","England, UK",Public Domain,"18th Century CE, Neoclassicism",group portrait,Painting
000820,Riace warriors,"Two life-size statues of males — warriors — made of bronze stand in nearly identical Classical contrapposto poses. Shields, spears, and helmets have been lost. Copper garnishes highlight the lips and nipples, and ivory insets highlight the eyes.",Public Domain,Unknown,Two life-size statues made of bronze stand in nearly identical Classical contrapposto poses,"Ancient Greek, Classical Greek",BCE 460-450 ,Museo Nazionale della Magna Grecia a Reggio Calabria,"Riace, Italy",Public Domain,"5th Century BCE, Classical Greece","nude, warrior",Sculpture
000821,Riemenschneider: Seated Bishop,"This wooden smaller-than-life-size sculpture of a seated bishop is wearing robes and a mitre. The bishop’s face shows the lines and sagging of age, and bears an expression of worry or concern.",CC 1.0 Universal Public Domain,Tilman Riemenschneider,Wooden sculpture of a seated bishop wearing robes and a mitre. The bishop’s face shows the lines and sagging of age.,"Northern and Western European, German, Christendom, Gothic",CE 1495,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA","Würzburg, Germany",CC 1.0 Universal Public Domain,"15th Century CE, Gothic",bishop,Sculpture
000822,Rietsveld: Schröder House,"This is a white, two-story private home that is composed of angular features; it has balconies with black railings and large rectangular windows and doors; indeed, the entire building seems to be composed of rectangles of various proportions. The house is surrounded by a low fence that complements the design elements, which are markedly different from those we see in the brick buildings directly behind this home.",CC BY 3.0 Hay Kranen,Gerrit Rietsveld,A two-story private residence has balconies and rectangular windows.,"Northern and Western European, Netherlandish, Bauhaus, Modernism",CE 1924,"Utrecht, Netherlands","Utrecht, Netherlands",CC BY 3.0 Hay Kranen,"20th Century CE, Bauhaus, Modernism",Bauhaus,Architecture
000823,"Rivera: Detroit Industry, North Wall",Large mural showing Americans of many different ethnicities at work on an automobile assembly line.,Creative Commons Attribution 2.0 Generic,Diego Rivera,Large mural of workers on an assembly line,"American, Latin American, Social Realism",CE 1933,"Detroit Institute of the Arts, Detroit, MI, USA","Detroit, Michigan, USA",Creative Commons Attribution 2.0 Generic,"20th Century CE, Social Realism",Detroit,Painting
000824,"Rivera: Detroit Industry, South Wall","Large mural showing the men and machinery of an automobile assembly line, surmounted by figures representing two of what were then identified as the four races.",Public Domain,Diego Rivera,Large mural of an auto assembly line,"American, Latin American, Social Realism",CE 1932-1933,"Detroit Institute of the Arts, Detroit, MI, USA","Detroit, Michigan, USA",Public Domain,"20th Century CE, Social Realism",Detroit,Painting
000825,Rivera: Man at the Crossroads,Large mural showing the division between Capitalist and Socialist visions of the future.,"Creative Commons Attribution-Share Alike 3.0 Unported; author, Kgv88",Diego Rivera,Mural showing the Capitalism-Socialism conflict,"American, Latin American, Social Realism",CE 1934,"Palacio de Bellas Artes, Mexico City, Mexico","30 Rockefeller Plaza, New York, NY, USA","Creative Commons Attribution-Share Alike 3.0 Unported; author, Kgv88","20th Century CE, Social Realism",science,Painting
000826,Rock Crystal Ewer,"A jug-shaped vessel made of rock crystal with a narrow neck is topped by a gold neck-sleeve and spouted lid with an ornamental crown on top. The handle is shaped like a stylized sea horse head, and the body is carved with animal and floral motifs. ",CC BY 2.0 photographer volkersworld,Unknown,A jug-shaped vessel made of rock crystal and carved with floral shapes is topped by lid shaped like an ornamental crown. The handle is shaped like a sea horse head.,"African, Egyptian, Muslim, Fatimid",CE 900-1000,Private Collection,"Egypt, Africa",CC BY 2.0 photographer volkersworld,10-11th Century CE,lion,Sculpture
000827,Rockwell: Rosie the Riveter,Illustration of a muscular young woman in overalls eating lunch while a riveter's gun rests on her lap.,Use of this image is in accordance with the Artstor Terms & Conditions,Norman Rockwell,Illustration of a young woman riveter,"American, Realism",CE 1943,"NYU Department of Art History Digital Collections; from Marling, ""Norman Rockwell,"" 1997, p. 106","Arlington, Vermont, USA",Use of this image is in accordance with the Artstor Terms & Conditions,"20th Century CE, Realism",magazine cover,Illustration
000828,Rodin: The Gates of Hell,"Sculpted gates showing a number of scenes from Dante's Inferno, including the piece that has come to be known as ""The Thinker.""",Creative Commons Attribution-Share Alike 3.0 Unported; Author: Roland zh,Auguste Rodin,Sculpted gates representing figures from Dante's Inferno,"Northern and Western European, French, Romanticism",CE 1885-1917,"The Kunsthaus Zürich, Zürich, Switzerland","Paris, France",Creative Commons Attribution-Share Alike 3.0 Unported; Author: Roland zh,"19-20th Century CE, Romanticism",Inferno,Sculpture
000829,"Roman Egypt Room, Vatican Museum","Images of sculptures on display in the Roman Egyptian room of the Vatican Museum are strictly controlled, so we can't reproduce them here, but the Museum's website offers generous views. ",CC 2.5 Generic LIGHTmatter Photography by Aaron Logan ,Unknown,Two male figures carved in stone flank a sign that says Vatican Museum.,"Ancient Roman, Imperial Roman, Roman Egypt",BCE 100 -- CE 200 ,Vatican Museums (Musei Vaticani),Roman Italy (various locations),CC 2.5 Generic LIGHTmatter Photography by Aaron Logan ,"2nd Century BCE - 3rd Century CE, Imperial Rome",Imperial Rome,Sculpture
000830,Romanesque Crucifix (Castile-León),This wooden sculpture of the crucified Christ is approximately life-size; it shows traces of polychrome and tin leaf on the crown. Jesus is mounted on a wooden cross that is outlined in glass jewels.,CC 1.0 Universal Public Domain,Unknown,Wooden sculpture of the crucified Christ approximately life-size; Jesus is mounted on a wooden cross that is outlined in glass jewels.,"Southern European, Spanish, Christendom, Romanesque",CE 1150-1200,"The Cloisters, Metropolitan Museum of Art, New York, NY USA","Castile-León, Spain",CC 1.0 Universal Public Domain,"12-13th Century CE, Romanesque",crucifixion,Sculpture
000831,Rongxi Studio,"This is a graytone ink landscape of hills, water and trees. The painting contains several red signature seals and calligraphy",Public Domain,Ni Zan 倪瓚,"Graytone ink landscape of hills, water and trees. The painting contains several red signature seals and calligraphy","East Asian, Chinese, Ming Dynasty",CE 1372,"National Palace Museum, Taipei, Taiwan","Lake Tai Region, China",Public Domain,"14th Century CE, Ming Dynasty","shan shui, mountains",Painting
000832,Rose: The Old Plantation,"A watercolor painting shows parts of two buildings on either side, in front of which and between, a dozen people play music, or stand or dance.  The men wear jackets, shirts, and knee-length pants; the women wear dresses.  All are barefoot and all have dark brown skin. Six wear headscarves, and six do not.  Four of the men are bearded.  A banjo player and a drummer provide music for a man in the center with a baton, who dances opposite two women with fabric rattles.  Behind the dancers can be seen a river with two boats in it, an opposite shore where a cluster of large houses and small ones are on the horizon.",CC BY-NC 4.0,John Rose,"A dozen people sit, dance, play music, and stand between two houses.  A river is behind them.","American, Genre Painting, Folk Art",CE 1785-1795,"Abby Aldrich Rockefeller Folk Art Museum, Colonial Williamsburg, Virginia, USA","South Carolina, United States of America",CC BY-NC 4.0,"18th Century CE, Folk Art",genre,Painting
000833,Rosetta Stone,"A large block of stone, partly broken, shows writing in three languages etched on its surface.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,"A large block of stone, partly broken, shows writing in three languages etched on its surface","Ancient Egyptian, Ptolemaic Egyptian",BCE 196,"British Museum, London, UK","Near al-Rashid, Nile Delta, Egypt",CC BY-SA 3.0 © The Trustees of the British Museum,"2nd Century CE, Ptolemaic Egyptian","hieroglyphic, Demotic, Greek",Sculpture
000834,Rossetti: Ecce Ancilla Domini,"The angel Gabriel, his feet aflame, holds out a three-stemmed lily to the Virgin Mary, who lies half-risen on a plain white bed.",Creative Commons CC-BY-NC-ND (3.0 Unported) in UK; Public Domain in US,Dante Gabriel Rossetti,The angel Gabriel's annunciation to the Virgin Mary,"Northern and Western European, British, Pre-Raphaelite",CE 1849-50,"Tate Britain, London, UK","London, England",Creative Commons CC-BY-NC-ND (3.0 Unported) in UK; Public Domain in US,"19th Century CE, Pre-Raphaelite","Annunciation, Gabriel, St Mary",Painting
000835,Rossetti: The Maids of Elfin-Mere Illustration,"This is a graphite with black and brown ink drawing of three long-haired women in gowns who stand behind a young person sitting on the ground with knees drawn up.  This seated figure gazes downward, as if in deep contemplation. Each woman holds a strand of yarn in her hands, the right raised, and the left lowered, from which a spindle dangles.  There is a suggestion of the cityscape (including a clock tower) behind the figures, but the overall effect of the image is flat, without any convincing sense of illusionistic space.",Public Domain,Dante Gabriel Rossetti,Three long-haired women holding strings of yarn stand behind a man seated on the floor.,"Northern and Western European, British, Pre-Raphaelite",CE 1854,"Yale Center for British Art, New Haven, CT, USA","London, England",Public Domain,"19th Century CE, Pre-Raphaelite",literary theme,Prints
000836,Rousseau: The Dream,"A nude woman reclines on a sofa situated in a lush jungle filled with enormous, somewhat abstract flowers and iconic jungle animals, such as elephants and lions.",Public Domain,Henri Rousseau,A nude woman reclines on a sofa situated in a lush jungle,"Northern and Western European, French, Romanticism",CE 1910,"MoMA (Museum of Modern Art), New York City, USA","Paris, France",Public Domain,"20th Century CE, Post-Impressionism, Orientalism","nude, Orientalism",Painting
000837,Rousseau: The Sleeping Gypsy,"A woman in a brightly-striped robe sleeps on a featureless plain beneath a full moon, a walking stick in her right hand, a lute lying beside her.  A lion looks curiously down at her.",Public Domain,Henri Rousseau,A sleeping woman is watched by a calm lion,"Northern and Western European, French, Romanticism",CE 1897,"MoMA (Museum of Modern Art), New York City, USA","Paris, France",Public Domain,"19th Century CE, Post-Impressionism, Orientalism","lion, gypsy",Painting
000838,Rubbing of a relief carving in a Wu Family Shrine,"This rubbing, made in the late 19th century CE from a relief carving made two thousand years earlier, shows in silhouette a scene from a legendary assasignation attempt of Ying Zheng, the king of Qin, in BCE 227. Separated by a pillar with a dagger in it, two figures in Imperial robes on the left are displayed in poses of attack, while three on right are shown either fallen or fleeing or rushing to help.",Public Domain,Unknown,Five figures in robes are shown on either side of a pillar with a dagger in it.,"East Asian, Chinese, Han Dynasty",BCE 140,"Fine Arts Library, Special Collections, Harvard University, Cambridge, MA USA","Jiaxiang, Shandong, China",Public Domain,"2nd Century BCE, Han Dynasty",assassination,Sculpture
000839,"Rubbing, Sarcophagus Lid of Lord Pakal","This rubbing shows in contours a central figure falling backward into a cup-like shape that represents the Underworld. Above the falling figure is a cross shape signifying the Maya concept of a World Tree that grows between (and into) both Heaven and the Underworld. Above the World Tree is a bird-like creature, Itzam-Ye, representing the celestial sphere. ","ArtStor University of California, San Diego ",Unknown,"A central figure is falling backward into a cup-like shape. Above is a cross shape representing a tree, where a bird-like creature sits.","North American, Mesoamerican, Mayan",CE 683,"Museo Nacional Antropologico, Mexico City, Mexico","Palenque, Mexico","ArtStor University of California, San Diego ",7th Century CE,Kʼinich Janaab Pakal I,Sculpture
000840,Rubens: Prometheus Bound,"Depiction of Prometheus, chained to a rock, watching an eagle eat his liver.",Public Domain / Google Arts and Cultures,Peter Paul Rubens,"Depiction of Prometheus, chained to a rock, watching his liver get eaten by an eagle.","Northern and Western European, Belgium, Baroque",CE 1611-1618,"Philadelphia Museum of Art, Pennsylvania","Antwerp, Belgium",Public Domain / Google Arts and Cultures,"17th Century CE, Baroque",Prometheus,Painting
000841,Rubens: The Earthly Paradise with the Fall of Man,"Adam and Eve are in the Garden of Eden, surrounded by animals (including a parrot and a fox).  They are being tempted by the serpent (shown here with the head of a child) with fruit from the Tree of Knowledge of Good and Evil. Eve reaches up for the fruit while Adam, seated, reaches toward her. ",Public Domain,Peter Paul Rubens and Jan Brueghel the Elder,"Adam and Eve in the Garden of Eden surrounded by animals being tempted by a child-headed serpent. Eve reaches up for the fruit while Adam, seated, reaches toward her. ","Northern and Western European, Belgium, Baroque",CE 1615,"Mauritshaus, The Hague, Netherlands","Antwerp, Belgium",Public Domain,"17th Century CE, Baroque","Adam, Eve",Painting
000842,Rustic Dancers -- Han Dynasty,"Two clay figurines stand on one of their legs, lifting the other, while their arms gesture as if in a dancing motion. Both are smiling. The legs are trunk-shaped, wider at the bottom than where they meet the body. The surfaces are mottled with ancient pigment.",CC 1.0 Universal Public Domain,Unknown,Two dancers have thick legs and are frozen in dancing poses.,"East Asian, Chinese, Han Dynasty, Eastern Han",CE 25-209 ,"Metropolitan Museum of Art, New York, USA",China,CC 1.0 Universal Public Domain,"1st-3rd Century CE, Han Dynasty, Eastern Han","funerary object, dancer",Sculpture
000843,"Saint Matthew, folio 15, recto, of the Coronation Gospels","In ink and tempera on vellum, a man in a toga sits in a chair holding a stylus, writing in a book in front of him on a desk.  A gold sphere surrounds his head, and in the background is a horizon line, with a blue sky above.",Artstor: Department of Art History Digital Collections,Unknown,A man in a toga with a gold sphere around his head sits at a desk writing in a book.,"Northern and Western European, German, Christendom",CE 800-810,"Kunsthistorisches Museum, Vienna, Austria","Palatine Chapel in Aachen, Germany",Artstor: Department of Art History Digital Collections,9th Century CE,St Matthew,Manuscript Illustration
000844,Saint Michael the Archangel from a diptych,"A carved ivory panel shows in relief a figure in a robe standing on some steps.  A pair of wings is behind him, and  he holds a sphere with a cross on it, and a staff that is taller than he is. Columns flank him, and above is an apse-shaped semi-circle with a circle and a cross in the center of it.  Greek words are carved at the top.",CC BY-SA Michel wal,Unknown,"A standing figure in a robe, with wings, holds a sphere and a staff.","Ancient Roman, Christian Roman, Late Antiquity",CE 525-550,"The British Museum, London",Constantinople,CC BY-SA Michel wal,"6th Century CE, Late Antiquity, Early Byzantine",Archangel Michael,Sculpture
000845,"Saint-Pierre Moissac, Romanesque Portal","A large brick church shows portal on the left with an arch, behind which rises a bell tower with a conical roof.  Arched windows adorn the walls.",Public Domain,Unknown,"A large church shows an arched portal, a bell tower, and many arched windows.","Northern and Western European, French, Christendom, Romanesque",CE 1115,"Moissac, Tarn-et-Garonne, France","Moissac, Tarn-et-Garonne, France",Public Domain,"7th Century CE, Romanesque",Romanesque,Architecture
000846,Salcedo: Virgin of Guadalupe,"Floating in the center of this oil painting on a copper sheet is a woman in a blue robe.  She is surrounded by a golden painted frame.  Outside the frame are several figures floating or flying -- infants with wings and bearded men in flowing robes.  Kneeling on the ground are a woman and a man, both wearing crowns, flanking a scene showing a city.",Public Domain,Sebastian Salcedo,"A woman in a robe floats in clouds surrounded by angles, a bishop, and a princess.","North American, Mexican, Latin American, Mestizo",CE 1779,Denver Art Museum,Mexico,Public Domain,18th Century CE,St Mary,Painting
000847,San Bushman Cave Paintings,This rock painting depicts human figures and animal shapes. ,"ArtStor Photographer: Irving Rouse, Yale University Peabody Museum of Natural History",Unknown,This rock painting depicts human figures and animal shapes.,"South African, Pre-Historic, San Bushmen",BCE 30000 ,"Wat 2 rockshelter, Boontjieskloof, Cedarberg, South Africa","Wat 2 rockshelter, Boontjieskloof, Cedarberg, South Africa","ArtStor Photographer: Irving Rouse, Yale University Peabody Museum of Natural History",Paleolithic,bull,Painting
000848,San Lorenzo Basilica,"This image shows the interior of the San Lorenzo Basilica facing the apse. Rounded arches, corinthian-capitals on columns, and coffered ceilings are visible.  Filippo Brunelleschi began the original construction.sss  He is considered to be a ""founding father"" of Italian renaissance architecture.","Erich Lessing/ART RESOURCE, N.Y. Artstor",Filippo Brunelleschi,"Interior of a church with a flat ceiling, rounded arches, and tall Corinthian columns. ","Southern European, Italian, Italian Renaissance",CE 1421-1470,"Florence, Italy","Florence, Italy","Erich Lessing/ART RESOURCE, N.Y. Artstor","15th Century CE, Italian Renaissance",Christianity,Architecture
000849,Sanxingdui Culture gold mask,"A face made from gold shows knife-shaped eyebrows, protruding eye-holes that show turquoise color on the eyelids, curled shapes extending from the nostrils to the cheeks with red on them, and a mouth suggested by an incised line. The ears are overlarge and pierced at the lobe. The forehead rises to a domed shape with a turquoise painted crown.",CC BY 2.0  Momo,Unknown,A face mask made from gold with exaggerated features and turquoise color on the eyelids.,"Chinese, Bronze Age China",BCE 1100-1000,"Sanxingdui Museum, Guanghan, Sichuan, China","Sichuan, China ",CC BY 2.0  Momo,2nd Millenneum BCE,Sanxingdui Culture,Sculpture
